model	nDCG	Recall	Precision	MRR	Gini	ItemCoverage	EPC	EFD	APLT	ARP	UserMADranking_WarmColdUsers	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-1	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-1
RP3beta_neighborhood=100_alpha=2$0_beta=1$5_normalize_similarity=True	0.0034696842916323847	0.00260791432907414	0.0028112894299944656	0.008663311109354274	0.10406380558642381	10056.0	0.00294558218007604	0.0489779529910496	0.9491588267847261	9.495993359158827	0.0077961593236763015	0.2767019419944031	-0.9999736589298592	0.15496747702795188	-1.0
RP3beta_neighborhood=300_alpha=1$5_beta=0$8_normalize_similarity=True	0.008010001644672894	0.0067579286141659966	0.006723851687880466	0.01812189808592686	0.16156593836423117	12883.0	0.006668798292670049	0.1052856674610563	0.8583785279468733	13.926530160486994	0.01198046963961924	0.2758491503752838	-0.9968917537233795	0.15475899914401184	-0.9986546991153346
RP3beta_neighborhood=100_alpha=0$6_beta=1$5_normalize_similarity=True	0.008135814620946544	0.005719788659549177	0.006502490315439956	0.020118564489068087	0.060883767074551454	7538.0	0.006985825474551149	0.11957982494417528	0.9992805755395684	4.688992805755396	0.013077149713748074	0.27670923081166066	-1.0	0.15496747702795188	-1.0
RP3beta_neighborhood=200_alpha=0$6_beta=0$8_normalize_similarity=True	0.04697363235481106	0.03372977131244169	0.036153846153846154	0.10672510343373653	0.22917788676880047	16426.0	0.039631172794346886	0.5654902371568234	0.8145600442722746	42.14629773104594	0.038324908711143	0.20710831482044934	-0.7484691212250004	0.14433510494700855	-0.9313896548820663
RP3beta_neighborhood=300_alpha=2$0_beta=1$5_normalize_similarity=True	0.0036908925697833393	0.002882938187169809	0.0029662423907028225	0.009220645461652657	0.11054562397877066	10325.0	0.0031135088575675687	0.05167552701964324	0.9488655229662424	9.545611510791366	0.00782027883000429	0.2767019419944031	-0.9999736589298592	0.15496747702795188	-1.0
RP3beta_neighborhood=100_alpha=1$5_beta=1$5_normalize_similarity=True	0.004207949688147581	0.003143908986502317	0.003442169341449917	0.010216617914459642	0.09303893866806523	9318.0	0.0035591087592398677	0.0602052711937957	0.9844216934144991	7.542534587714444	0.0072730993696875825	0.27670923081166066	-1.0	0.15496747702795188	-1.0
RP3beta_neighborhood=200_alpha=2$0_beta=0$8_normalize_similarity=True	0.005409695111305124	0.004470200840600635	0.004416159380188158	0.012798113157825388	0.15012342760453923	12212.0	0.004477038372902481	0.0700325939923628	0.7743718871057	18.66541228555617	0.01019746598383264	0.2735167288529057	-0.9884626112783066	0.15329965395643128	-0.989237592922677
RP3beta_neighborhood=200_alpha=0$6_beta=1$5_normalize_similarity=True	0.007857919640403513	0.005473528448794718	0.006209186496956281	0.01958240001405469	0.056312397953071636	7363.0	0.0067254257510235855	0.11573897727073863	0.9995517432208081	4.5248201438848925	0.012112633208815296	0.27670923081166066	-1.0	0.15496747702795188	-1.0
RP3beta_neighborhood=10_alpha=1$0_beta=0$8_normalize_similarity=True	0.017085337093326648	0.013096773522876283	0.01382955174322081	0.0401446974288701	0.13885074005163112	13299.0	0.014474829955035939	0.21293670678844895	0.8889596015495297	16.105866076369672	0.02257687281764068	0.26617688987467236	-0.9619371536464683	0.15455052126007154	-0.9973093982306693
RP3beta_neighborhood=300_alpha=0$6_beta=1$5_normalize_similarity=True	0.007875803397055231	0.00548665243042112	0.006131710016602103	0.019964138579246494	0.056625309641102795	7298.0	0.006748129191638033	0.11641596852062333	0.9995794133923631	4.526956281128943	0.012949531654137515	0.27670923081166066	-1.0	0.15496747702795188	-1.0
RP3beta_neighborhood=300_alpha=1$5_beta=1$5_normalize_similarity=True	0.0046451080052733506	0.003398580309567461	0.0038184836745987823	0.011364249259932712	0.10293575197759008	9719.0	0.003959640083320371	0.06686098033837358	0.9837078029883787	7.631660210293303	0.008270487581798052	0.27670923081166066	-1.0	0.15496747702795188	-1.0
RP3beta_neighborhood=10_alpha=1$5_beta=0$8_normalize_similarity=True	0.005970351824423553	0.004904146395480436	0.004958494742667405	0.014060861201148972	0.12744592172693447	12521.0	0.005011176650125127	0.07860707071631673	0.8338240177089098	14.856358605423353	0.00922263999962696	0.27553573123321407	-0.9957590877073227	0.15413356549219145	-0.9946187964613384
RP3beta_neighborhood=100_alpha=1$0_beta=1$5_normalize_similarity=True	0.006108684770913329	0.004275165242737907	0.004980630879911455	0.015112437522509466	0.07444197430117272	8228.0	0.0052730658277481066	0.09028523966898086	0.9982291090204759	5.685240730492528	0.011914705288547218	0.27670923081166066	-1.0	0.15496747702795188	-1.0
RP3beta_neighborhood=200_alpha=1$5_beta=0$8_normalize_similarity=True	0.007755453407442913	0.006557141263051388	0.006502490315439956	0.017484627682469406	0.15486188789168265	12648.0	0.006447599523037891	0.10186327874794683	0.8605976757055894	13.764482567791921	0.01124074081063571	0.27597306026865986	-0.997339551915774	0.15455052126007154	-0.9973093982306693
RP3beta_neighborhood=100_alpha=1$0_beta=0$8_normalize_similarity=True	0.019250190542295594	0.015493485874513853	0.015971223021582735	0.04214296694512521	0.16539434089486316	13520.0	0.016229424683499076	0.24548682394315896	0.9178693967902601	13.954941892639736	0.021456985477588945	0.26870610946300105	-0.9710775049853441	0.15496747702795188	-1.0
RP3beta_neighborhood=300_alpha=1$0_beta=1$5_normalize_similarity=True	0.006865163598765117	0.004767269599424209	0.005611510791366907	0.01710996038334168	0.08408805636173	8665.0	0.005948411690530451	0.10196678332307277	0.9978029883785279	5.7165910348644156	0.013910964155586385	0.27670923081166066	-1.0	0.15496747702795188	-1.0
RP3beta_neighborhood=10_alpha=0$6_beta=0$8_normalize_similarity=True	0.06644843094050706	0.04177473911692486	0.05065855008301051	0.15490398889679466	0.1907564795060659	14941.0	0.05759496604486711	0.7819367552518388	0.7101604869950193	64.35454897620366	0.09197744756777813	0.16472384246848656	-0.5952957983559437	0.09972083778383499	-0.6434952655636779
RP3beta_neighborhood=300_alpha=1$0_beta=0$8_normalize_similarity=True	0.02176685939359016	0.016934435795462086	0.018295517432208083	0.04795319788125543	0.19442514452814863	14484.0	0.018605958318415064	0.2794141290595262	0.9056945213060322	17.36491422246818	0.027973126861611564	0.26247417070789736	-0.9485558900149152	0.15371660972431136	-0.9919281946920079
RP3beta_neighborhood=100_alpha=0$6_beta=0$8_normalize_similarity=True	0.051075546094017044	0.03555805954702891	0.03903707802988379	0.11719136778489297	0.22175382267428145	16114.0	0.04332490116847398	0.6118039256766055	0.7976923076923077	45.3513060320974	0.043028570360058166	0.20255280403455486	-0.7320059523869676	0.1462114059024692	-0.9434973628440546
RP3beta_neighborhood=10_alpha=2$0_beta=1$5_normalize_similarity=True	0.003106968257172942	0.002374920315829514	0.002484781405644715	0.0077054400435695395	0.10321711310932558	11095.0	0.002593566043019388	0.04272965847143742	0.9165633646928613	10.695218594355287	0.005851198795156503	0.2766582090908585	-0.999815612509014	0.15496747702795188	-1.0
RP3beta_neighborhood=10_alpha=2$0_beta=0$8_normalize_similarity=True	0.004642529452292291	0.003726937059237208	0.0038129496402877702	0.011036094201561828	0.12776994797347196	12355.0	0.0038532822757776047	0.0599807420959322	0.7516712783619259	20.081499723298283	0.008885599842124961	0.27220474174656817	-0.9837212186529533	0.15225726453673102	-0.9825110884993502
