model	nDCG	Gini	EPC
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=96	0.3183267003332113	0.1388726715879032	0.2542492305917693
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=65	0.314450749394063	0.1410645112300745	0.2516891633686786
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=135	0.3222270000445748	0.1255045261998901	0.2563145522982736
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=150	0.3214819621992036	0.1265446753195098	0.2559765136961848
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=151	0.3199053234599366	0.128098164389555	0.2547446438801831
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=65	0.3119746936435906	0.1413413624340773	0.2489905976018982
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=77	0.3016672906715056	0.1484681882363998	0.2415170396725834
