model	nDCG	APLT
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$0001_n_layers=2_it=7	0.310848725256938	0.0283443708609271
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=2_it=7	0.3108749091623753	0.0280629139072847
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=1_it=7	0.3099205537162735	0.0284602649006622
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$0001_n_layers=1_it=7	0.3096614822009307	0.0286754966887417
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=3_it=8	0.3056749978041481	0.0313907284768211
