model	nDCG	Gini	EPC
EASER_neighborhood=3664_l2_norm=400$0	0.3587246497241583	0.0660281172201696	0.2744732997964013
EASER_neighborhood=3664_l2_norm=350$0	0.3571036787184587	0.0679028878366629	0.2737017207092069
EASER_neighborhood=3664_l2_norm=450$0	0.3595407376295838	0.0643282927720014	0.2746442079804116
EASER_neighborhood=3664_l2_norm=300$0	0.3555479009172821	0.0697771431877394	0.2730024757925922
EASER_neighborhood=3664_l2_norm=500$0	0.3602120743991627	0.0628982414081756	0.2747201676057104
EASER_neighborhood=3664_l2_norm=550$0	0.3607543914515666	0.0615227087412521	0.2747151006444221
EASER_neighborhood=3664_l2_norm=250$0	0.352476674813854	0.0721880610291205	0.2711470736304002
EASER_neighborhood=3664_l2_norm=200$0	0.348990460409322	0.0747899525051842	0.2691423019951965
EASER_neighborhood=3664_l2_norm=180$0	0.347042520905009	0.0760154344591429	0.2679108673964119
EASER_neighborhood=3664_l2_norm=160$0	0.3448625912809471	0.077111765588586	0.2665034077392551
EASER_neighborhood=3664_l2_norm=140$0	0.3426282926563834	0.078444015960572	0.2650298386931684
EASER_neighborhood=3664_l2_norm=120$0	0.3394589520066547	0.0797669915550705	0.2627977993542317
EASER_neighborhood=3664_l2_norm=100$0	0.3353563480060155	0.0814949567267442	0.2599396598661334
EASER_neighborhood=3664_l2_norm=90$0	0.3333831150529423	0.0824159800980993	0.2585611119011467
EASER_neighborhood=3664_l2_norm=80$0	0.3309945995975465	0.0832924013718715	0.2568847547756294
EASER_neighborhood=3664_l2_norm=70$0	0.3281760850926627	0.0843046357615889	0.2548696103283521
EASER_neighborhood=3664_l2_norm=60$0	0.3253577903848543	0.0852697369253658	0.2528502022223123
EASER_neighborhood=3664_l2_norm=50$0	0.3209144333744008	0.0863289870243507	0.2495465115522093
EASER_neighborhood=3664_l2_norm=40$0	0.3165512956936602	0.0873533437109592	0.2462850497630339
EASER_neighborhood=3664_l2_norm=30$0	0.3097021340146556	0.0882398623789347	0.2410646911340198
EASER_neighborhood=3664_l2_norm=20$0	0.3009982380872669	0.0892487339838339	0.2344172937232621
EASER_neighborhood=3664_l2_norm=10$0	0.2835678021244807	0.089915496471788	0.220825893651962
