model	nDCG	Gini	EPC
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=3_it=8	0.3056749978041481	0.1075091075422198	0.2400662795692273
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$0001_n_layers=2_it=7	0.310848725256938	0.0994423381840601	0.2417836408100387
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=2_it=7	0.3108749091623753	0.0989949341273843	0.2416951811246038
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$0001_n_layers=1_it=7	0.3096614822009307	0.1004031002706501	0.2409231379407133
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=1_it=7	0.3099205537162735	0.0999133811716599	0.2410336528379413
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$0001_n_layers=3_it=7	0.3096981329558762	0.0994744925539629	0.241068541750331
