model	nDCG	APLT
EASER_neighborhood=3664_l2_norm=550$0	0.3607543914515666	0.0025993377483443
EASER_neighborhood=3664_l2_norm=500$0	0.3602120743991627	0.0028145695364238
EASER_neighborhood=3664_l2_norm=450$0	0.3595407376295838	0.0031291390728476
EASER_neighborhood=3664_l2_norm=400$0	0.3587246497241583	0.0034437086092715
EASER_neighborhood=3664_l2_norm=350$0	0.3571036787184587	0.0037086092715231
EASER_neighborhood=3664_l2_norm=300$0	0.3555479009172821	0.0040894039735099
EASER_neighborhood=3664_l2_norm=250$0	0.352476674813854	0.0044867549668874
EASER_neighborhood=3664_l2_norm=200$0	0.348990460409322	0.0049834437086092
EASER_neighborhood=3664_l2_norm=180$0	0.347042520905009	0.0050662251655629
EASER_neighborhood=3664_l2_norm=160$0	0.3448625912809471	0.0052317880794701
EASER_neighborhood=3664_l2_norm=140$0	0.3426282926563834	0.005546357615894
EASER_neighborhood=3664_l2_norm=120$0	0.3394589520066547	0.0058443708609271
EASER_neighborhood=3664_l2_norm=100$0	0.3353563480060155	0.0063576158940397
EASER_neighborhood=3664_l2_norm=90$0	0.3333831150529423	0.0066390728476821
EASER_neighborhood=3664_l2_norm=80$0	0.3309945995975465	0.006887417218543
EASER_neighborhood=3664_l2_norm=70$0	0.3281760850926627	0.007069536423841
EASER_neighborhood=3664_l2_norm=60$0	0.3253577903848543	0.0072682119205298
EASER_neighborhood=3664_l2_norm=50$0	0.3209144333744008	0.0075331125827814
EASER_neighborhood=3664_l2_norm=40$0	0.3165512956936602	0.0077980132450331
EASER_neighborhood=3664_l2_norm=30$0	0.3097021340146556	0.007864238410596
EASER_neighborhood=3664_l2_norm=20$0	0.3009982380872669	0.0080960264900662
