model	nDCG	Gini	EPC
EASER_neighborhood=10020_l2_norm=0$3	0.0506953860605245	0.5045392797852957	0.0187135495430903
EASER_neighborhood=10020_l2_norm=0$4	0.0517307289027284	0.5020741919598963	0.0191602313828114
EASER_neighborhood=10020_l2_norm=0$2	0.0487440869027393	0.5058182792529775	0.0178791295308089
EASER_neighborhood=10020_l2_norm=0$5	0.052907740863427	0.4996700041691715	0.0196573413161933
EASER_neighborhood=10020_l2_norm=0$6	0.0539922276696175	0.4980686924744057	0.0201402002927944
EASER_neighborhood=10020_l2_norm=0$7	0.0549892463510547	0.4956692608691665	0.0205915604345498
EASER_neighborhood=10020_l2_norm=0$8	0.0558449408063839	0.4935701907215077	0.0209827449856848
EASER_neighborhood=10020_l2_norm=0$1	0.046136967027354	0.5062883308393724	0.0167858919706625
EASER_neighborhood=10020_l2_norm=0$9	0.0563957963571118	0.4911678831538172	0.0212393632114889
EASER_neighborhood=10020_l2_norm=1$0	0.057055088912706	0.4889285319575956	0.021538093316638
EASER_neighborhood=10020_l2_norm=10$0	0.0713410107363222	0.3734488754493115	0.0272990197420483
EASER_neighborhood=10020_l2_norm=20$0	0.0739908385694274	0.315932284045572	0.0282051889266473
EASER_neighborhood=10020_l2_norm=30$0	0.0747109352378066	0.286644561622454	0.0284078772068758
EASER_neighborhood=10020_l2_norm=40$0	0.0752061047500505	0.2698321176388799	0.0285534229767367
EASER_neighborhood=10020_l2_norm=50$0	0.0756006699171995	0.2584591422041468	0.0286276394858052
