model	nDCG	Gini	EPC
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=67	0.0401964033278695	0.3202497253268119	0.0144996449321515
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=32	0.0414496338814466	0.2681407290756733	0.0149569359937648
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=300_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=9	0.0414595132656908	0.2340882683775843	0.0150287638551218
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=9	0.0444582072938665	0.2237935994621231	0.0160551965043636
