model	nDCG	APLT
EASER_neighborhood=10020_l2_norm=0$6	0.0539922276696175	0.1941897728856068
EASER_neighborhood=10020_l2_norm=0$4	0.0517307289027284	0.1963076494356973
EASER_neighborhood=10020_l2_norm=0$3	0.0506953860605245	0.197234220426362
EASER_neighborhood=10020_l2_norm=0$5	0.052907740863427	0.1950048766894245
EASER_neighborhood=10020_l2_norm=0$7	0.0549892463510547	0.1928312665459106
EASER_neighborhood=10020_l2_norm=0$8	0.0558449408063839	0.1918350285634666
EASER_neighborhood=10020_l2_norm=0$9	0.0563957963571118	0.1906019228089731
EASER_neighborhood=10020_l2_norm=1$0	0.057055088912706	0.189522084436394
EASER_neighborhood=10020_l2_norm=0$2	0.0487440869027393	0.1977497561655288
EASER_neighborhood=10020_l2_norm=10$0	0.0713410107363222	0.1310714783335655
EASER_neighborhood=10020_l2_norm=20$0	0.0739908385694274	0.1048070224327713
EASER_neighborhood=10020_l2_norm=30$0	0.0747109352378066	0.0928730667409781
EASER_neighborhood=10020_l2_norm=40$0	0.0752061047500505	0.0861920022293437
EASER_neighborhood=10020_l2_norm=50$0	0.0756006699171995	0.0819632158283405
