model	nDCG	Gini	EPC
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$0001_n_layers=4_it=17	0.0655793502977778	0.1316428652211728	0.0548413410418828
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$001_n_layers=4_it=23	0.0668881259327226	0.1100333115236392	0.0558949598349804
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$0001_n_layers=2_it=18	0.0663664406331718	0.1100636915775844	0.0555178878076006
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$001_n_layers=2_it=18	0.067889783516903	0.0981489369957339	0.0564302725114252
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$001_n_layers=3_it=295	0.0689623017307063	0.0643443581417403	0.0572221549187997
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$001_n_layers=4_it=211	0.0679535111780653	0.0657642396238157	0.0563835166990541
