model	nDCG	APLT
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$0001_n_layers=4_it=17	0.0655793502977778	0.10349750968456
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$0001_n_layers=2_it=18	0.0663664406331718	0.0801051466519092
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$0001_n_layers=2_it=11	0.0671531718873829	0.0748865522966242
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$001_n_layers=3_it=18	0.0672736317390244	0.0556225788599889
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$001_n_layers=2_it=18	0.067889783516903	0.0547758716104039
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$001_n_layers=3_it=295	0.0689623017307063	0.011759822910902
